"Probe and Sample ID","Expression Value","Standard Deviation"
"ILMN_1665632 - fibroblast_SZ_donor_1","4.4033715517","0.270091874318"
"ILMN_1665632 - fibroblast_SZ_donor_10","4.83746526571","0.00955766152138"
"ILMN_1665632 - fibroblast_SZ_donor_2","4.02385409606","1.35282792529"
"ILMN_1665632 - fibroblast_SZ_donor_3","4.39602133177","0.785413601269"
"ILMN_1665632 - fibroblast_SZ_donor_4","4.4601415451","0.492640869618"
"ILMN_1665632 - fibroblast_SZ_donor_5","4.94108486885","2.31134729029"
"ILMN_1665632 - fibroblast_SZ_donor_6","4.3157107543","0.64991556736"
"ILMN_1665632 - fibroblast_SZ_donor_7","4.7507918069","1.05251685263"
"ILMN_1665632 - fibroblast_SZ_donor_8","4.27195432314","0.0048780645339"
"ILMN_1665632 - fibroblast_control_donor_1","4.83500719856","0.00717543039083"
"ILMN_1665632 - fibroblast_control_donor_11","4.86093807285","0.101812168721"
"ILMN_1665632 - fibroblast_control_donor_12","4.89481556463","0.283407403943"
"ILMN_1665632 - fibroblast_control_donor_4","4.57196565959","0.298707501477"
"ILMN_1665632 - fibroblast_control_donor_5","5.01430366223","0.201630707593"
"ILMN_1665632 - fibroblast_control_donor_6","4.69743314214","0.594802655893"
"ILMN_1665632 - fibroblast_control_donor_7","4.18062558661","0.176138803276"
"ILMN_1665632 - fibroblast_control_donor_8","4.85497983349","0.249892744495"
"ILMN_1665632 - fibroblast_control_donor_9","4.61325578218","1.10215389236"
"ILMN_1665632 - hONS_PD_donor_10","5.0569539169","0.540512575146"
"ILMN_1665632 - hONS_PD_donor_11","5.04376046319","0.963678168638"
"ILMN_1665632 - hONS_PD_donor_12","4.60199367555","0.211382701613"
"ILMN_1665632 - hONS_PD_donor_13","4.63990148116","0.165957230079"
"ILMN_1665632 - hONS_PD_donor_14","4.91585435396","0.605244379258"
"ILMN_1665632 - hONS_PD_donor_15","4.38291139388","0.273992603787"
"ILMN_1665632 - hONS_PD_donor_16","4.26848293939","0.387523489011"
"ILMN_1665632 - hONS_PD_donor_17","4.79586483313","1.03485794797"
"ILMN_1665632 - hONS_PD_donor_2","4.82855262494","0.432704205171"
"ILMN_1665632 - hONS_PD_donor_22","4.66979267662","0.313164118257"
"ILMN_1665632 - hONS_PD_donor_24","4.7089138464","0.0"
"ILMN_1665632 - hONS_PD_donor_27","4.58579157283","0.46923326816"
"ILMN_1665632 - hONS_PD_donor_29","4.55831766378","0.524948687049"
"ILMN_1665632 - hONS_PD_donor_3","4.41437164341","0.297428795084"
"ILMN_1665632 - hONS_PD_donor_30","4.53294138768","0.466815300787"
"ILMN_1665632 - hONS_PD_donor_32","4.79345202049","0.211901503689"
"ILMN_1665632 - hONS_PD_donor_34","4.84500573839","0.00650478322776"
"ILMN_1665632 - hONS_PD_donor_6","4.57310346179","0.694285239627"
"ILMN_1665632 - hONS_PD_donor_8","4.53757245391","0.777740780581"
"ILMN_1665632 - hONS_SZ_donor_1","4.39549382155","0.0231848782875"
"ILMN_1665632 - hONS_SZ_donor_10","4.63950970649","0.0238565231831"
"ILMN_1665632 - hONS_SZ_donor_15","4.34488763127","0.211687838958"
"ILMN_1665632 - hONS_SZ_donor_2","4.11372244737","0.0105872640883"
"ILMN_1665632 - hONS_SZ_donor_3","4.08685829199","0.0777576663482"
"ILMN_1665632 - hONS_SZ_donor_5","3.95381986323","0.32586487302"
"ILMN_1665632 - hONS_SZ_donor_6","4.46525351004","0.0622894655875"
"ILMN_1665632 - hONS_SZ_donor_7","4.54903230661","0.167691303106"
"ILMN_1665632 - hONS_SZ_donor_9","3.80724828188","0.488455850079"
"ILMN_1665632 - hONS_control_donor_1","4.14392571246","0.90294582465"
"ILMN_1665632 - hONS_control_donor_10","4.20585354133","0.267945572961"
"ILMN_1665632 - hONS_control_donor_11","4.66575306605","0.190609876436"
"ILMN_1665632 - hONS_control_donor_12","4.22378199389","0.215148748949"
"ILMN_1665632 - hONS_control_donor_13","4.3338343845","0.516465770924"
"ILMN_1665632 - hONS_control_donor_15","4.26995432612","0.423441156465"
"ILMN_1665632 - hONS_control_donor_2","4.57908832292","0.327297652344"
"ILMN_1665632 - hONS_control_donor_27","4.39077577634","0.246168727211"
"ILMN_1665632 - hONS_control_donor_29","4.75929590834","0.28096343374"
"ILMN_1665632 - hONS_control_donor_4","4.34166353065","0.024608869343"
"ILMN_1665632 - hONS_control_donor_5","4.58537424995","0.630532938678"
"ILMN_1665632 - hONS_control_donor_7","4.72472893871","0.884969012532"
"ILMN_1665632 - hONS_control_donor_8","4.09033476282","0.210657654705"
"ILMN_1665632 - hONS_control_donor_9","4.29962358386","0.275004970515"
"ILMN_1679060 - fibroblast_SZ_donor_1","3.496219575","0.309058163761"
"ILMN_1679060 - fibroblast_SZ_donor_10","3.68142159835","0.249534324794"
"ILMN_1679060 - fibroblast_SZ_donor_2","3.28048880259","0.0525719658758"
"ILMN_1679060 - fibroblast_SZ_donor_3","4.2373373566","0.119094098908"
"ILMN_1679060 - fibroblast_SZ_donor_4","4.05527872682","0.316402895509"
"ILMN_1679060 - fibroblast_SZ_donor_5","4.12159785978","0.821766985948"
"ILMN_1679060 - fibroblast_SZ_donor_6","3.88389645418","0.779535156367"
"ILMN_1679060 - fibroblast_SZ_donor_7","4.0080190022","0.805373808446"
"ILMN_1679060 - fibroblast_SZ_donor_8","4.73221395025","0.0555169490746"
"ILMN_1679060 - fibroblast_control_donor_1","3.95235305775","0.0842564460434"
"ILMN_1679060 - fibroblast_control_donor_11","4.30433739271","0.106312809188"
"ILMN_1679060 - fibroblast_control_donor_12","4.19182413844","0.935657585371"
"ILMN_1679060 - fibroblast_control_donor_4","4.42483423541","0.260550665792"
