"Probe	Sample_Type	Disease_State		Sample_ID	Expression_Value"
"ILMN_1665632	fibroblast	SZ	donor	1	4.4033715517"
"ILMN_1665632	fibroblast	SZ	donor	10	4.8374652657"
"ILMN_1665632	fibroblast	SZ	donor	2	4.0238540961"
"ILMN_1665632	fibroblast	SZ	donor	3	4.3960213318"
"ILMN_1665632	fibroblast	SZ	donor	4	4.4601415451"
"ILMN_1665632	fibroblast	SZ	donor	5	4.9410848689"
"ILMN_1665632	fibroblast	SZ	donor	6	4.3157107543"
"ILMN_1665632	fibroblast	SZ	donor	7	4.7507918069"
"ILMN_1665632	fibroblast	SZ	donor	8	4.2719543231"
"ILMN_1665632	fibroblast	control	donor	1	4.8350071986"
"ILMN_1665632	fibroblast	control	donor	11	4.8609380729"
"ILMN_1665632	fibroblast	control	donor	12	4.8948155646"
"ILMN_1665632	fibroblast	control	donor	4	4.5719656596"
"ILMN_1665632	fibroblast	control	donor	5	5.0143036622"
"ILMN_1665632	fibroblast	control	donor	6	4.6974331421"
"ILMN_1665632	fibroblast	control	donor	7	4.1806255866"
"ILMN_1665632	fibroblast	control	donor	8	4.8549798335"
"ILMN_1665632	fibroblast	control	donor	9	4.6132557822"
"ILMN_1665632	hONS	PD	donor	10	5.0569539169"
"ILMN_1665632	hONS	PD	donor	11	5.0437604632"
"ILMN_1665632	hONS	PD	donor	12	4.6019936756"
"ILMN_1665632	hONS	PD	donor	13	4.6399014812"
"ILMN_1665632	hONS	PD	donor	14	4.915854354"
"ILMN_1665632	hONS	PD	donor	15	4.3829113939"
"ILMN_1665632	hONS	PD	donor	16	4.2684829394"
"ILMN_1665632	hONS	PD	donor	17	4.7958648331"
"ILMN_1665632	hONS	PD	donor	2	4.8285526249"
"ILMN_1665632	hONS	PD	donor	22	4.6697926766"
"ILMN_1665632	hONS	PD	donor	24	4.7089138464"
"ILMN_1665632	hONS	PD	donor	27	4.5857915728"
"ILMN_1665632	hONS	PD	donor	29	4.5583176638"
"ILMN_1665632	hONS	PD	donor	3	4.4143716434"
"ILMN_1665632	hONS	PD	donor	30	4.5329413877"
"ILMN_1665632	hONS	PD	donor	32	4.7934520205"
"ILMN_1665632	hONS	PD	donor	34	4.8450057384"
"ILMN_1665632	hONS	PD	donor	6	4.5731034618"
"ILMN_1665632	hONS	PD	donor	8	4.5375724539"
"ILMN_1665632	hONS	SZ	donor	1	4.3954938216"
"ILMN_1665632	hONS	SZ	donor	10	4.6395097065"
"ILMN_1665632	hONS	SZ	donor	15	4.3448876313"
"ILMN_1665632	hONS	SZ	donor	2	4.1137224474"
"ILMN_1665632	hONS	SZ	donor	3	4.086858292"
"ILMN_1665632	hONS	SZ	donor	5	3.9538198632"
"ILMN_1665632	hONS	SZ	donor	6	4.46525351"
"ILMN_1665632	hONS	SZ	donor	7	4.5490323066"
"ILMN_1665632	hONS	SZ	donor	9	3.8072482819"
"ILMN_1665632	hONS	control	donor	1	4.1439257125"
"ILMN_1665632	hONS	control	donor	10	4.2058535413"
"ILMN_1665632	hONS	control	donor	11	4.6657530661"
"ILMN_1665632	hONS	control	donor	12	4.2237819939"
"ILMN_1665632	hONS	control	donor	13	4.3338343845"
"ILMN_1665632	hONS	control	donor	15	4.2699543261"
"ILMN_1665632	hONS	control	donor	2	4.5790883229"
"ILMN_1665632	hONS	control	donor	27	4.3907757763"
"ILMN_1665632	hONS	control	donor	29	4.7592959083"
"ILMN_1665632	hONS	control	donor	4	4.3416635307"
"ILMN_1665632	hONS	control	donor	5	4.58537425"
"ILMN_1665632	hONS	control	donor	7	4.7247289387"
"ILMN_1665632	hONS	control	donor	8	4.0903347628"
"ILMN_1665632	hONS	control	donor	9	4.2996235839"
"ILMN_1679060	fibroblast	SZ	donor	1	3.496219575"
"ILMN_1679060	fibroblast	SZ	donor	10	3.6814215984"
"ILMN_1679060	fibroblast	SZ	donor	2	3.2804888026"
"ILMN_1679060	fibroblast	SZ	donor	3	4.2373373566"
"ILMN_1679060	fibroblast	SZ	donor	4	4.0552787268"
"ILMN_1679060	fibroblast	SZ	donor	5	4.1215978598"
"ILMN_1679060	fibroblast	SZ	donor	6	3.8838964542"
"ILMN_1679060	fibroblast	SZ	donor	7	4.0080190022"
"ILMN_1679060	fibroblast	SZ	donor	8	4.7322139503"
"ILMN_1679060	fibroblast	control	donor	1	3.9523530578"
"ILMN_1679060	fibroblast	control	donor	11	4.3043373927"
"ILMN_1679060	fibroblast	control	donor	12	4.1918241384"
"ILMN_1679060	fibroblast	control	donor	4	4.4248342354"
"ILMN_1679060	fibroblast	control	donor	5	3.6613408184"
"ILMN_1679060	fibroblast	control	donor	6	4.1219078329"
"ILMN_1679060	fibroblast	control	donor	7	3.8073538698"
"ILMN_1679060	fibroblast	control	donor	8	4.2370378217"
"ILMN_1679060	fibroblast	control	donor	9	3.456575945"
"ILMN_1679060	hONS	PD	donor	10	5.7357159823"
"ILMN_1679060	hONS	PD	donor	11	6.2550316188"
"ILMN_1679060	hONS	PD	donor	12	5.3861332367"
"ILMN_1679060	hONS	PD	donor	13	6.1198829129"
"ILMN_1679060	hONS	PD	donor	14	5.2448457914"
"ILMN_1679060	hONS	PD	donor	15	5.3577077716"
"ILMN_1679060	hONS	PD	donor	16	5.2035999095"
"ILMN_1679060	hONS	PD	donor	17	4.9881413635"
"ILMN_1679060	hONS	PD	donor	2	4.5745616778"
"ILMN_1679060	hONS	PD	donor	22	4.3160515621"
"ILMN_1679060	hONS	PD	donor	24	3.9698900801"
"ILMN_1679060	hONS	PD	donor	27	4.87032466"
"ILMN_1679060	hONS	PD	donor	29	5.0613931822"
"ILMN_1679060	hONS	PD	donor	3	4.5667578031"
"ILMN_1679060	hONS	PD	donor	30	4.5887574189"
"ILMN_1679060	hONS	PD	donor	32	4.8670167533"
"ILMN_1679060	hONS	PD	donor	34	4.3173377946"
"ILMN_1679060	hONS	PD	donor	6	4.4635761222"
