chip_Id	Standard_Deviation	Sample_Type_Long	Probe	ds_id	Multi_Mapping	Sample_Type	Mapped_gene	Disease_State	Expression_Value	LineGraphGroup	Replicate_ID	Day
1979409020_C	0.00659287516714	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.4559546324	null	fibroblast_control_donor_1	null
1979409021_F	0.00409037839263	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.4116104922	null	fibroblast_control_donor_11	null
1979409021_G	0.0834178398761	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.964281943	null	fibroblast_control_donor_12	null
1979409021_B	0.100769407623	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	14.0816775147	null	fibroblast_control_donor_7	null
1979409020_F	0.492818598307	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.7974263549	null	fibroblast_control_donor_4	null
1979409020_G	0.690889964289	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.8119473664	null	fibroblast_control_donor_5	null
1979409020_H	0.0367287403529	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.5851215408	null	fibroblast_control_donor_6	null
1979409021_C	0.0772680681635	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.8368047419	null	fibroblast_control_donor_8	null
1979409021_D	0.068446192006	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	control	12.5820992029	null	fibroblast_control_donor_9	null
1979409009_A	0.523649893068	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.8646654715	null	fibroblast_SZ_donor_1	null
1979409009_B	0.582981048586	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.7818414957	null	fibroblast_SZ_donor_2	null
1979409009_C	0.0705477327447	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.6631352956	null	fibroblast_SZ_donor_3	null
1979409009_D	0.107703812248	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.8210173635	null	fibroblast_SZ_donor_4	null
1979409009_E	0.0354989423521	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.7330014292	null	fibroblast_SZ_donor_5	null
1979409009_F	0.0865094461849	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.2310077988	null	fibroblast_SZ_donor_6	null
1979409009_G	0.361132573419	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.7497483728	null	fibroblast_SZ_donor_7	null
1979409009_H	0.0633644630923	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	12.3179583209	null	fibroblast_SZ_donor_8	null
1979409020_B	0.000738622175598	Dermal Fibroblast	ILMN_1777325	2000	no	Dermal Fibroblast	STAT1	schizophrenia	11.7729852038	null	fibroblast_SZ_donor_10	null
1699538169_A	0.214593544654	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	11.996229305	null	hONS_control_donor_15	null
1699538167_A	0.193078996038	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	13.3714693293	null	hONS_control_donor_7	null
1699538167_B	0.124703515617	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.8623153214	null	hONS_control_donor_8	null
1699538167_C	0.0834412236463	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.575870848	null	hONS_control_donor_9	null
1699538167_D	0.260763387707	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.2902939643	null	hONS_control_donor_10	null
1699538167_E	0.114938612838	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.0632384234	null	hONS_control_donor_11	null
1699538167_F	0.37317827056	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	11.9682512185	null	hONS_control_donor_12	null
1699538167_G	0.218652402826	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	13.3341317334	null	hONS_control_donor_13	null
1699538155_A	0.15529262366	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.1341486326	null	hONS_control_donor_1	null
1699538155_B	0.448050613868	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.6882880369	null	hONS_control_donor_2	null
1699538155_E	0.476753527646	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	13.0618084076	null	hONS_control_donor_5	null
1787466064_A	0.265335422206	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	11.5154800378	null	hONS_control_donor_29	null
1787466029_C	0.0774422382217	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	12.9403333166	null	hONS_control_donor_27	null
1699538155_D	0.299028110955	hONS	ILMN_1777325	2000	no	hONS	STAT1	control	14.4190948562	null	hONS_control_donor_4	null
1787466064_F	0.41035371609	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5437956474	null	hONS_PD_donor_30	null
1699538160_C	0.595416411773	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	13.5112452103	null	hONS_PD_donor_6	null
1787466064_H	0.502726814501	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.6915403773	null	hONS_PD_donor_32	null
1699538160_E	0.107353854917	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.8472992716	null	hONS_PD_donor_8	null
1787466065_B	0.482044559756	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.6192265804	null	hONS_PD_donor_34	null
1699538160_G	0.53425828465	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5508568265	null	hONS_PD_donor_10	null
1699538160_H	0.427892864552	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	13.6231779575	null	hONS_PD_donor_11	null
1787466018_A	0.295081690089	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.2270160029	null	hONS_PD_donor_12	null
1787466018_B	0.666037766512	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5009369951	null	hONS_PD_donor_13	null
1787466018_C	0.322990301008	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	13.2516558953	null	hONS_PD_donor_14	null
1787466018_D	0.535676704605	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5813029271	null	hONS_PD_donor_15	null
1787466018_E	0.343428029212	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	13.0009432603	null	hONS_PD_donor_16	null
1787466018_F	0.00360044940968	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.7244351112	null	hONS_PD_donor_17	null
1787466029_E	0.0672466688343	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5281868942	null	hONS_PD_donor_22	null
1787466029_G	0	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.2172910747	null	hONS_PD_donor_24	null
1787466064_C	0.516950835863	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.8029672739	null	hONS_PD_donor_27	null
1699538155_G	0.678184563998	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.2759856681	null	hONS_PD_donor_2	null
1699538155_H	0.419083762332	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.5882939187	null	hONS_PD_donor_3	null
1787466064_E	0.700532795481	hONS	ILMN_1777325	2000	no	hONS	STAT1	Parkinson's disease	12.735930794	null	hONS_PD_donor_29	null
1787466028_G	0.255828846746	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.7190166346	null	hONS_SZ_donor_10	null
1787466018_H	0.272657206994	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	13.1687250176	null	hONS_SZ_donor_9	null
1699538158_A	0.051768771627	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.1906401457	null	hONS_SZ_donor_1	null
1699538158_B	0.0881492192609	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.1418753796	null	hONS_SZ_donor_2	null
1699538158_C	0.211678770458	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.6324884729	null	hONS_SZ_donor_3	null
1787466030_C	0.258330199801	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.8197540134	null	hONS_SZ_donor_15	null
1699538158_E	0.31154294225	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.4123335996	null	hONS_SZ_donor_5	null
1699538158_F	0.120046145091	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.9102078051	null	hONS_SZ_donor_6	null
1699538158_G	0.178777461728	hONS	ILMN_1777325	2000	no	hONS	STAT1	schizophrenia	12.2413485146	null	hONS_SZ_donor_7	null
1979409020_C	0.0788080503532	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	10.4192705899	null	fibroblast_control_donor_1	null
1979409021_F	0.0414557792977	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	10.534746704	null	fibroblast_control_donor_11	null
1979409021_G	0.0437949201436	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	10.9069418037	null	fibroblast_control_donor_12	null
1979409021_B	0.00346366796807	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	12.2197402578	null	fibroblast_control_donor_7	null
1979409020_F	0.652168531922	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	10.7690449278	null	fibroblast_control_donor_4	null
1979409020_G	0.640071019814	Dermal Fibroblast	ILMN_1690105	2000	no	Dermal Fibroblast	STAT1	control	10.7885624522	null	fibroblast_control_donor_5	null
